feature,score
rad,0.8602366007480826
tax,0.8205343313232776
indus,0.6756153850866556
nox,0.6719055957700778
lstat,0.5695021116162056
dis,0.5489456121522275
ptratio,0.49990541159848756
age,0.49156470716862466
b,0.4833196518653749
zn,0.3257163881015162
rm,0.25229851430287537
chas,0.07552397878189822
