feature,score
lstat,-0.7358882838125319
rm,0.6926690868497293
ptratio,-0.5114823472485125
indus,-0.47951581091031703
tax,-0.46404099253386205
nox,-0.4237217884089554
crim,-0.3870398855226182
rad,-0.37793326355814194
age,-0.3749115056841551
zn,0.36740406993102975
b,0.3318072536524996
dis,0.24376116054496216
chas,0.17896070047803
