feature,score
Economy (GDP per Capita),0.5029231703178074
Health (Life Expectancy),0.49520452414430993
Family,0.4636034912101823
Freedom,0.281997125099152
Dystopia Residual,0.22812188735652805
Trust (Government Corruption),0.17960929686461524
Generosity,0.038684239230185824
