feature,score
Economy (GDP per Capita),0.7617166036010943
Health (Life Expectancy),0.7316860910696082
Family,0.7233051623935429
Freedom,0.573304306200374
Dystopia Residual,0.5061061158659064
Trust (Government Corruption),0.45057692346412115
Generosity,0.2556226692967687
